ID,Original filename,Capture time,Caption,Notes
P21,image-4fcc2c5e.jpg,2026:09:17 13:39:16,"Two presenters share the lectern during an ALL IN ON AIR stage segment - ALL IN day 3, Sept 17, 2026.",Near-duplicate stage sequence P17-P21; identities not confirmed.
P22,image-19692acb.jpg,2026:09:17 13:44:17,"Attendees hold a focused small-group conversation around a table at ALL IN - ALL IN day 3, Sept 17, 2026.",Networking candid; identities not confirmed.
P23,image-e7f4b3fb.jpg,2026:09:17 13:57:37,"A crowded ALL IN expo scene around the illuminated Mila pavilion - ALL IN day 3, Sept 17, 2026.",Strong venue and crowd establishing shot.
P24,image-80c3f03d.jpg,2026:09:17 13:59:49,"Attendees discuss rugged sovereign-computing hardware at the GECCO and enclAIve display - ALL IN day 3, Sept 17, 2026.",Booth conversation; identities not confirmed.
P25,image-14ae2daf.jpg,2026:09:17 14:05:42,"Two ALL IN attendees sit by a window for a quiet one-on-one conversation away from the expo floor - ALL IN day 3, Sept 17, 2026.",Networking candid; identities not confirmed.
P26,IMG_1633.jpeg,2026:09:17 12:20:19,"A speaker continues a timed presentation on the ALL IN Talks stage, with the countdown visible behind him - ALL IN day 3, Sept 17, 2026.",Additional recovered batch-1 frame; sequence with P13-P16; speaker identity not confirmed.
P27,IMG_1637.jpeg,2026:09:17 12:20:43,"A speaker addresses the ALL IN Talks audience as a one-minute countdown appears on the presentation screen - ALL IN day 3, Sept 17, 2026.",Additional recovered batch-1 frame; sequence with P13-P16; speaker identity not confirmed.
P28,IMG_1639.jpeg,2026:09:17 12:20:51,"Wide view of a large audience watching a timed presentation on the ALL IN Talks stage - ALL IN day 3, Sept 17, 2026.",Additional recovered batch-1 frame; strong audience context; speaker identity not confirmed.
P29,IMG_1642.jpeg,2026:09:17 12:21:36,"A packed ALL IN Talks audience follows a stage presentation under the expo hall lights - ALL IN day 3, Sept 17, 2026.",Additional recovered batch-1 frame; wide audience view.
P30,IMG_1644.jpeg,2026:09:17 12:21:45,"A speaker presents from the ALL IN Talks stage with the exhibition floor visible behind him - ALL IN day 3, Sept 17, 2026.",Additional recovered batch-1 frame; speaker identity not confirmed.
P31,IMG_1651.jpeg,2026:09:17 13:31:38,"Three presenters gather at the ALL IN ON AIR lectern as the man in the ""AI for Anishinaabe Intelligence"" shirt begins speaking - ALL IN day 3, Sept 17, 2026.",Additional recovered batch-1 frame; presenter names not confirmed.
P32,IMG_1656.jpeg,2026:09:17 13:34:49,"Audience view of three presenters on the ALL IN ON AIR stage - ALL IN day 3, Sept 17, 2026.",Additional recovered batch-1 frame; wide stage context; presenter names not confirmed.
P33,IMG_1658.jpeg,2026:09:17 13:34:59,"A presenter in an ""AI for Anishinaabe Intelligence"" shirt speaks from the ALL IN ON AIR lectern beside two hosts - ALL IN day 3, Sept 17, 2026.",Additional recovered batch-1 frame; identity not confirmed.
P34,IMG_1660.jpeg,2026:09:17 13:35:05,"Close view of the ON AIR presenter speaking about ""AI for Anishinaabe Intelligence"" beside two hosts - ALL IN day 3, Sept 17, 2026.",Additional recovered batch-1 frame; identity not confirmed.
P35,IMG_1669.jpeg,2026:09:17 13:35:49,"Three presenters stand together beneath the ON AIR sign during an ALL IN stage segment - ALL IN day 3, Sept 17, 2026.",Additional recovered batch-1 frame; presenter names not confirmed.
P36,image-c1511e29.jpg,2026:09:17 16:13:28,"Kris Krüg takes a hallway selfie with Evan Solomon, Canada's Minister of Artificial Intelligence and Digital Innovation, at ALL IN - ALL IN day 3, Sept 17, 2026.",Batch 3; near-duplicate pair P36-P37; identity confirmed by Kris; taken around 4:13 PM after a two-minute hallway conversation.
P37,image-876e51bd.jpg,2026:09:17 16:13:28,"Kris Krüg and Evan Solomon, Canada's Minister of Artificial Intelligence and Digital Innovation, smile for a hallway selfie at ALL IN - ALL IN day 3, Sept 17, 2026.",Batch 3; near-duplicate pair P36-P37; identity confirmed by Kris; taken around 4:13 PM after a two-minute hallway conversation.
P38,image-8fe27ab5.jpg,2026:09:17 15:11:12,"Kris Krüg and Julie Bui of ProjectEx Management Services hold their badges for a selfie at ALL IN - ALL IN day 3, Sept 17, 2026.",Batch 4; Julie Bui's name and organization are visible on her badge.
P39,image-a0db78c4.jpg,2026:09:17 15:59:39,"A presenter raises a small object at the ALL IN ON AIR lectern while Evan Solomon and fellow speakers look on - ALL IN day 3, Sept 17, 2026.",Batch 4; presenter's identity not confirmed.
P40,image-2656f8c7.jpg,2026:09:17 16:02:50,"A guest speaks at the ALL IN ON AIR lectern as Evan Solomon and fellow presenters stand beside her - ALL IN day 3, Sept 17, 2026.",Batch 4; guest identity not confirmed.
P41,image-427307fc.jpg,2026:09:17 16:03:29,"Evan Solomon and three fellow presenters pose for photographers on the ALL IN ON AIR stage - ALL IN day 3, Sept 17, 2026.",Batch 4; other identities not confirmed.
P42,image-c925eff9.jpg,2026:09:17 16:05:13,"Wide audience view as Evan Solomon addresses the ALL IN ON AIR stage - ALL IN day 3, Sept 17, 2026.",Batch 4; strong audience and stage context.
P43,image-6c13c84a.jpg,2026:09:17 16:05:16,"Evan Solomon speaks from the ALL IN ON AIR lectern with three fellow presenters behind him - ALL IN day 3, Sept 17, 2026.",Batch 4; stage sequence P42-P45.
P44,image-588e2beb.jpg,2026:09:17 16:05:17,"Evan Solomon gestures during remarks on the ALL IN ON AIR stage - ALL IN day 3, Sept 17, 2026.",Batch 4; stage sequence P42-P45.
P45,image-f2409ec2.jpg,2026:09:17 16:05:24,"Close view of Evan Solomon delivering remarks at the ALL IN ON AIR lectern - ALL IN day 3, Sept 17, 2026.",Batch 4; stage sequence P42-P45.
P46,image-22ca3bd0.jpg,2026:09:17 16:09:00,"A suited presenter speaks at the ALL IN ON AIR lectern with Evan Solomon and another guest behind him - ALL IN day 3, Sept 17, 2026.",Batch 4; presenter's identity not confirmed.
P47,image-39ecab31.jpg,2026:09:17 16:09:03,"A suited presenter addresses the ALL IN ON AIR audience while fellow speakers stand across the stage - ALL IN day 3, Sept 17, 2026.",Batch 4; presenter's identity not confirmed; wider companion to P46.
P48,image-65f87528.jpg,2026:09:17 16:42:01,"Portrait of an ALL IN attendee wearing a Burberry T-shirt and conference badge - ALL IN day 3, Sept 17, 2026.",Batch 4; identity not confirmed.

